	file_origin	file_target	condition pair count	total pair count	%	cosine(avg)	pearsonr(avg)	spearman(avg)	cosine(max)	pearsonr(max)	spearman(max)
0	BRD-K93338495.csv	BRD-K65983169.csv	0	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	BRD-K93338495.csv	BRD-K82206012.csv	0	72	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	BRD-K93338495.csv	xaliproden.csv	0	57	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	BRD-K93338495.csv	BRD-A77098556.csv	0	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	BRD-K93338495.csv	ARG-CSC-26.csv	0	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	BRD-K93338495.csv	BRD-K63602071.csv	0	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	BRD-K93338495.csv	BRD-K71283713.csv	0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	BRD-K93338495.csv	peucedanin.csv	0	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	BRD-K93338495.csv	BRD-K27442643.csv	0	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	BRD-K93338495.csv	BRD-K97048125.csv	0	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	BRD-K93338495.csv	SQ-29548.csv	0	45	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	BRD-K93338495.csv	BRD-K57851810.csv	0	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	BRD-K93338495.csv	BRD-K53610452.csv	0	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	BRD-K93338495.csv	ozagrel.csv	0	147	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	BRD-K93338495.csv	BRD-K56983253.csv	0	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	BRD-K93338495.csv	BRD-K04136539.csv	0	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	BRD-K93338495.csv	BRD-K36278687.csv	0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	BRD-K93338495.csv	BRD-K85102293.csv	0	36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	BRD-K93338495.csv	BRD-K46555875.csv	0	36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	BRD-K93338495.csv	BRD-K27798440.csv	0	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	BRD-K93338495.csv	BRD-K07852185.csv	0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	BRD-K93338495.csv	BRD-K56040567.csv	0	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	BRD-K93338495.csv	BRD-K91133575.csv	0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	BRD-K93338495.csv	BRD-K57321627.csv	0	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	BRD-K93338495.csv	BRD-K95285735.csv	0	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	BRD-K93338495.csv	BRD-K98245706.csv	0	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	BRD-K93338495.csv	BRD-K81284476.csv	0	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	BRD-K93338495.csv	BRD-K59130924.csv	0	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	BRD-K93338495.csv	BRD-K07026322.csv	0	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	BRD-K93338495.csv	BRD-K16464815.csv	0	33	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	BRD-K93338495.csv	BRD-K17830172.csv	0	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	BRD-K93338495.csv	sarmentogenin.csv	0	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	BRD-K93338495.csv	BRD-K40098720.csv	0	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	BRD-K93338495.csv	BRD-K44021875.csv	0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	BRD-K93338495.csv	BRD-K29834680.csv	0	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	BRD-K93338495.csv	BRD-K36910796.csv	0	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	BRD-K93338495.csv	BRD-K22576413.csv	0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	BRD-K93338495.csv	BRD-K88092133.csv	0	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	BRD-K93338495.csv	BRD-K58663279.csv	0	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39	BRD-K93338495.csv	BRD-K77588167.csv	0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	BRD-K93338495.csv	NCS-382.csv	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	BRD-K93338495.csv	BRD-K08123827.csv	0	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	BRD-K93338495.csv	BRD-K01317665.csv	0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	BRD-K93338495.csv	XMD-892.csv	0	195	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	BRD-K93338495.csv	BRD-K51126483.csv	0	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	BRD-K93338495.csv	BRD-K69420053.csv	0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
